id,category,question,answer,source
1,请假,上课不能参加需要请假吗？,根据《安徽交通职业技术学院学分制学籍管理办法》，学生按时参加课程教学和学院统一安排的教学活动均要实行考勤；因故不能参加者，必须事先请假。未请假、请假未准或超过假期者，均记为旷课。,教务处《学分制学籍管理办法》第十二条
2,请假,没请假缺课会怎样？,根据教务处《学分制学籍管理办法》，未请假、请假未准或超过假期参加教学活动的情况，均记为旷课。旷课学时累计达到规定范围会受到相应纪律处分。,教务处《学分制学籍管理办法》第十二至十三条
3,请假,请假手续在哪里看？,教务处公开的《学分制学籍管理办法》明确“学生请假手续办理按照学院有关规定执行”。具体请假表、审批人和材料要求建议咨询辅导员或所在学院，以学院最新通知为准。,教务处《学分制学籍管理办法》第十五条
4,请假,新生不能按时报到怎么办？,根据《学分制学籍管理办法》，新生因故不能按期报到者，应向学院招生办请假；未请假、请假未批或逾期者，除不可抗力等正当事由外，视为放弃入学资格。,教务处《学分制学籍管理办法》第一条
5,注册,每学期开学怎么注册？,根据《学分制学籍管理办法》，每学期开学时学生须持本人学生证和缴费凭据到所在系部按规定办理注册手续。因故不能按期注册者，须履行暂缓注册手续。,教务处《学分制学籍管理办法》第五条
6,注册,没按时注册会怎样？,根据《学分制学籍管理办法》，因故不能按期注册者须履行暂缓注册手续，否则以旷课论处；无故逾期两周不注册者，按自动退学处理，由所在系部报教务处取消学籍。,教务处《学分制学籍管理办法》第五条
7,奖学金,奖学金看绩点吗？,官网教务处《学分制学籍管理办法》说明，平均学分绩点是学校选拔优秀学生、评定奖学金的重要依据之一。具体奖学金名额、比例、综合测评和材料要求，应以学生处或学院当年通知为准。,教务处《学分制学籍管理办法》第十九条
8,奖学金,奖学金要多少绩点？,官网公开的《学分制学籍管理办法》确认平均学分绩点用于评定奖学金，但未在该页面给出固定“最低绩点线”。因此不能写死为3.0，建议按学生处或所在学院当年奖学金评定通知执行。,教务处《学分制学籍管理办法》第十九条
9,成绩绩点,成绩和绩点怎么换算？,根据《学分制学籍管理办法》，90至100分折合4.0至5.0绩点，80至89分折合3.0至3.9绩点，70至79分折合2.0至2.9绩点，60至69分折合1.0至1.9绩点，59分以下绩点为0。,教务处《学分制学籍管理办法》第十九条
10,成绩绩点,平均学分绩点怎么算？,根据《学分制学籍管理办法》，平均学分绩点按“课程绩点×课程学分”的总和除以课程学分总和计算，并取小数点后二位数。公共选修课、专业选修课等是否纳入以该办法具体规定为准。,教务处《学分制学籍管理办法》第十九条
11,考试,考试不及格怎么办？,根据《学分制学籍管理办法》，必修课程、专业选修课程考核不及格者，允许在下学期开学初规定时间内参加一次补考；补考仍不及格者应重修。,教务处《学分制学籍管理办法》第二十条
12,考试,生病不能考试怎么办？,根据《学分制学籍管理办法》，因故不能按期参加考试须事先向所在系部提出申请；因病缓考需出示经院医务室确认的诊断证明，经所在系部同意后方可缓考。,教务处《学分制学籍管理办法》第二十一条
13,考试,缓考申请流程是什么？,学生办理免考或缓考审批手续时，需填写《安徽交通职业技术学院免考、缓考申请表》，经辅导员证明、系主任签署意见后，报送教务处审核。,教务处《学分制学籍管理办法》第二十一条
14,选课,公共选修课可以选几门？,根据《学分制学籍管理办法》，学院开设的公共选修课每门按2学分计，每个学生在同一学期内修读公共选修课一般不得超过两门，不受年级和专业限制。,教务处《学分制学籍管理办法》第二十四条
15,选课,学校什么时候公布下学期课程？,根据《学分制学籍管理办法》，教务处在每学期结束前4至8周内公布下学期各年级各专业必修课、选修课开设及相应学分等情况，由各系在规定时间内组织学生选课。,教务处《学分制学籍管理办法》第二十七条
16,选课,选课结果在哪里看？,根据《学分制学籍管理办法》，教务处在放假后一周内在教务管理系统中公布学生选课结果。官网教务处首页也提供“教务系统”入口，但校内系统可能需要校园网访问。,教务处《学分制学籍管理办法》第二十七条；教务处首页
17,选课,选错课能退吗？,官网公开办法中能确认“各系在规定时间内组织学生选课、教务系统公布选课结果”。是否能退选、退选期限和审批方式未在已核验页面明确，建议以教务处当学期选课通知或教学秘书通知为准。,教务处《学分制学籍管理办法》第二十七条
18,学生证,学生证丢了怎么办？,教务处办事指南公开列有“学生证补办办理流程”。学生证遗失或损坏时，应查看教务处办事指南对应流程，或咨询所在学院教学秘书/辅导员办理。,教务处办事指南《学生证补办办理流程》
19,学籍,休学手续怎么办？,教务处办事指南公开列有“休学手续办理流程”。如需休学，应按教务处办事指南准备材料并通过所在学院办理，具体条件和表格以页面最新附件为准。,教务处办事指南《休学手续办理流程》
20,学籍,复学手续怎么办？,教务处办事指南公开列有“复学手续办理流程”。休学期满或符合复学条件时，应按教务处办事指南和所在学院要求提交复学材料。,教务处办事指南《复学手续办理流程》
21,校历,在哪里看学校校历？,学校官网“公共服务”栏目下设有“校历”页面，公开发布学院2025-2026学年校历、2024-2025学年校历等历年校历信息。,学校官网公共服务-校历
22,校历,现在第几周怎么判断？,可参考学校官网“公共服务-校历”中发布的当学年校历，再结合当前日期计算教学周。项目中的周次工具应以官网最新校历开始日期为准进行配置。,学校官网公共服务-校历
23,缴费,学费住宿费怎么查询？,学费和住宿费可通过学校财务缴费平台查询，核对姓名、学号和应缴金额后再支付；支付异常应保留截图并联系财务处。,财务处缴费说明
24,缴费,学校收费标准在哪里看？,财务处官网设有“收费公示”栏目，并公开学生收费标准相关通知。学费、住宿费等收费项目应以财务处最新收费公示为准。,财务处官网-收费公示
25,办事,学校官网有哪些公共服务入口？,安徽交通职业技术学院官网首页提供公共服务栏目，包括服务事项、校历、联系我们等；首页还提供网上办事大厅、图书馆、AI能力平台等快捷链接。,学校官网首页-公共服务与快捷链接
26,联系,学校地址和电话在哪里看？,学校官网底部公开新桥校区地址、青年路校区地址，以及院办电话、招生办电话等联系方式。具体部门办公电话可进入对应部门网站查询。,学校官网首页；公共服务页面
27,请假,怎么请病假？,"病假需填写请假条并上传辅导员要求的证明材料（如校医院证明），通过""今日校园""APP提交申请，3天以上病假需附证明材料",学生请假操作手册[reference:3]
28,请假,怎么请事假？,"事假通过""今日校园""APP→学生服务→学生请假提交申请，填写请假类型、起止时间及事由，上传附件材料后提交",学生请假操作手册[reference:4]
29,请假,请假结束后需要做什么？,"请假结束后需在""今日校园""APP中进入已通过的请假记录进行销假，销假后方可继续请假",学生请假操作手册[reference:5]
30,请假,因故不能按时报到怎么办？,因故不能按期报到者应向院招生办请假（专用电话：0551-63444228），未请假或逾期者视为放弃入学资格,学分制学籍管理办法[reference:6]
31,请假,特殊情况如何请假？,特殊情况可电话请假，回校后应及时补办请假手续。请假回家须由家长来电说明原因并办理请假手续,基础系学生考勤管理规定[reference:7]
32,奖学金,国家奖学金奖励标准是多少？,国家奖学金每人每年8000元,国家奖学金评审办法[reference:8]
33,奖学金,国家奖学金申请条件是什么？,二年级以上（含二年级）特别优秀在校生，学习成绩排名与综合考评成绩排名均位于前10%（含10%）,国家奖学金评审办法[reference:9]
34,奖学金,国家励志奖学金奖励标准是多少？,国家励志奖学金每人每年5000元,国家励志奖学金评审办法[reference:10]
35,奖学金,国家励志奖学金申请条件是什么？,二年级以上（含二年级）品学兼优的家庭经济困难在校生，必修课程没有不及格科目,国家励志奖学金评审办法[reference:11]
36,奖学金,国家励志奖学金如何申请？,每年9月30日前向班级递交《本专科生国家励志奖学金申请表》，经班级推选、系部公示、院级审核后上报省教育厅,国家励志奖学金评审办法[reference:12]
37,奖学金,国家奖学金和国家励志奖学金能同时获得吗？,不能。同一学年内获得国家奖学金的学生不能同时获得国家励志奖学金,国家奖学金评审办法[reference:13]
38,奖学金,学院有哪些校内资助形式？,学院优秀学生奖学金、学费减免、勤工助学、教育基金会奖助学金、党员爱心捐款、特困补助等,学生资助工作实施办法[reference:14]
39,报修,宿舍设施坏了怎么报修？,"通过""网上办事大厅""→""后勤服务""→""网络及多媒体报修申请""提交报修申请，填写详细地址和故障描述",网络及多媒体报修流程[reference:15]
40,报修,宿舍电路故障怎么办？,电路发生故障应立即停止使用并及时报告维修，维修人员对报修故障及时到场排除,宿舍管理规定[reference:16]
41,报修,宿舍空调坏了怎么报修？,空调运行出现异响等故障状态时应立即停机并断电，按日常报修程序报修,学生宿舍空调使用管理暂行规定[reference:17]
42,一卡通,一卡通丢了怎么办？,"丢失校园卡应及时挂失并补办新卡。可通过""今日校园""APP线上挂失，或前往一卡通服务中心办理",校园卡管理规定[reference:18][reference:19]
